Time,AgeStart,Age,Deaths,Population
1980,65,65-69,97592,2456383.5
1980,70,70-74,105777,1639443.5
1980,75,75-79,90040,880360
1980,80,80-84,55714,355309
1980,85,85-89,23688,101838.5
1980,90,90-94,6050,18753
1980,95,95-99,934,2141
1980,100,100,102,183.5
1981,0,0-4,585856,22275272.5
1981,5,5-9,46597,20284596
1981,10,10-14,28351,18710295
1981,15,15-19,37238,16445369.5
1981,20,20-24,40588,13814597
1981,25,25-29,33352,10984193.5
1981,30,30-34,30079,8714281
1981,35,35-39,35351,8192250.5
1981,40,40-44,43649,7709680
1981,45,45-49,51704,6736434.5
1981,50,50-54,61433,5556539.5
1981,55,55-59,68045,4232737
1981,60,60-64,80770,3198310
1981,65,65-69,98845,2499853
1981,70,70-74,109420,1702382.5
1981,75,75-79,94049,921892.5
1981,80,80-84,58767,375502
1981,85,85-89,25210,108385.5
1981,90,90-94,6459,19991.5
1981,95,95-99,996,2281.5
1981,100,100,106,190
1982,0,0-4,571023,22520701
1982,5,5-9,44671,20537461.5
1982,10,10-14,27397,19030652
1982,15,15-19,36424,16916031
1982,20,20-24,39815,14334687.5
1982,25,25-29,33008,11524187.5
1982,30,30-34,29247,8970343
1982,35,35-39,33837,8247772.500000000
1982,40,40-44,42266,7795342
1982,45,45-49,51235,6915579.5
1982,50,50-54,61661,5741878
1982,55,55-59,69490,4426968.5
1982,60,60-64,81429,3288689
1982,65,65-69,98887,2538679
1982,70,70-74,112046,1763176.5
1982,75,75-79,97441,963598.5
1982,80,80-84,61775,397437
1982,85,85-89,26668,115033.5
1982,90,90-94,6868,21302
1982,95,95-99,1063,2435.5
1982,100,100,110,197.5
1983,0,0-4,553434,22732718
1983,5,5-9,42576,20795242
1983,10,10-14,26303,19344352.5
1983,15,15-19,35441,17368393
1983,20,20-24,38871,14840716.5
1983,25,25-29,32511.000000000000,12067316.5
1983,30,30-34,28635,9325937
1983,35,35-39,32280,8302435.000000000
1983,40,40-44,40688,7863442.5
1983,45,45-49,50518,7086838
1983,50,50-54,61562,5921923.5
1983,55,55-59,70754,4629937
1983,60,60-64,82249,3398505
1983,65,65-69,98599,2578423
1983,70,70-74,114028,1820084
1983,75,75-79,100616,1006722.5
1983,80,80-84,64837,421044
1983,85,85-89,28080,121822.5
1983,90,90-94,7289,22720
1983,95,95-99,1131,2602.5
1983,100,100,114,206.5
1984,0,0-4,534410,22879374
1984,5,5-9,40984,21086742.5
1984,10,10-14,25447,19623700.5
1984,15,15-19,34823,17805344
1984,20,20-24,38349,15330736
