Province,District,2016,2017,2018,2019,2020,2021
Jawa Tengah,JEPARA,14,31,29,40,32,21
Jawa Tengah,KARANGANYAR,17,34,31,28,20,9
Jawa Tengah,KEBUMEN,46,57,72,94,72,54
Jawa Tengah,KENDAL,30,42,53,67,61,38
Jawa Tengah,KLATEN,25,31,41,46,24,19
Jawa Tengah,KOTA MAGELANG,217,270,366,169,139,75
Jawa Tengah,KOTA PEKALONGAN,55,62,103,75,76,29
Jawa Tengah,KOTA SALATIGA,101,129,219,130,77,44
Jawa Tengah,KOTA SEMARANG,55,70,95,101,53,42
Jawa Tengah,KOTA SURAKARTA,95,139,112,103,70,46
Jawa Tengah,KOTA TEGAL,179,207,394,252,229,154
Jawa Tengah,KUDUS,28,49,133,75,58,41
Jawa Tengah,MAGELANG,9,15,20,26,18,13
Jawa Tengah,PATI,27,15,45,63,57,35
Jawa Tengah,PEKALONGAN,36,58,79,58,51,36
Jawa Tengah,PEMALANG,28,27,36,59,45,30
Jawa Tengah,PURBALINGGA,37,36,71,66,48,34
Jawa Tengah,PURWOREJO,22,37,32,45,36,22
Jawa Tengah,REMBANG,41,49,84,67,40,31
Jawa Tengah,SEMARANG,24,34,49,41,26,17
Jawa Tengah,SRAGEN,24,51,48,49,29,17
Jawa Tengah,SUKOHARJO,14,19,41,34,29,19
Jawa Tengah,TEGAL,45,69,86,111,87,49
Jawa Tengah,TEMANGGUNG,18,24,28,38,28,21
Jawa Tengah,WONOGIRI,23,46,50,52,33,22
Jawa Tengah,WONOSOBO,32,74,76,98,58,47
DI Yogyakarta,BANTUL,21,27,37,44,31,18
DI Yogyakarta,GUNUNG KIDUL,21,26,25,30,22,12
DI Yogyakarta,KOTA YOGYAKARTA,73,69,70,82,71,42
DI Yogyakarta,KULON PROGO,20,28,23,34,26,14
DI Yogyakarta,SLEMAN,20,23,26,42,41,22
Jawa Timur,BANGKALAN,44,39,61,66,52,28
Jawa Timur,BANYUWANGI,38,44,46,75,56,39
Jawa Timur,BLITAR,20,20,22,33,23,13
Jawa Timur,BOJONEGORO,41,52,81,69,56,24
Jawa Timur,BONDOWOSO,45,39,65,85,53,38
Jawa Timur,GRESIK,47,56,97,87,53,41
Jawa Timur,JEMBER,45,48,55,78,65,37
Jawa Timur,JOMBANG,33,35,66,56,43,30
Jawa Timur,KEDIRI,39,37,43,57,46,24
Jawa Timur,KOTA BATU,26,18,37,34,38,8
Jawa Timur,KOTA BLITAR,62,60,94,54,57,21
Jawa Timur,KOTA KEDIRI,79,75,88,92,66,29
Jawa Timur,KOTA MADIUN,107,114,271,121,70,24
Jawa Timur,KOTA MALANG,65,127,113,83,53,29
Jawa Timur,KOTA MOJOKERTO,93,118,219,104,96,55
Jawa Timur,KOTA PASURUAN,67,74,82,88,81,48
Jawa Timur,KOTA PROBOLINGGO,54,56,91,96,47,22
Jawa Timur,KOTA SURABAYA,55,66,94,82,42,27
Jawa Timur,LAMONGAN,57,68,102,90,66,48
Jawa Timur,LUMAJANG,38,52,82,83,58,33
Jawa Timur,MADIUN,49,56,68,83,47,25
Jawa Timur,MAGETAN,36,22,61,54,37,17
Jawa Timur,MALANG,26,27,33,46,35,21
Jawa Timur,MOJOKERTO,31,23,50,62,39,27
Jawa Timur,NGANJUK,33,31,49,47,32,22
Jawa Timur,NGAWI,33,36,40,59,43,28
Jawa Timur,PACITAN,23,14,25,30,25,14
Jawa Timur,PAMEKASAN,39,46,42,60,55,28
Jawa Timur,PASURUAN,46,36,64,94,52,30
Jawa Timur,PONOROGO,32,39,46,61,54,22
Jawa Timur,PROBOLINGGO,43,43,56,69,46,31
Jawa Timur,SAMPANG,40,45,48,56,39,32
Jawa Timur,SIDOARJO,41,43,68,75,46,32
Jawa Timur,SITUBONDO,51,59,78,77,66,36
Jawa Timur,SUMENEP,53,54,60,84,73,46
Jawa Timur,TRENGGALEK,19,20,25,36,27,11
Jawa Timur,TUBAN,31,62,63,79,56,35
Jawa Timur,TULUNGAGUNG,32,35,41,54,40,18
Kalimantan Barat,BENGKAYANG,30,29,20,37,47,21
Kalimantan Barat,KAPUAS HULU,42,52,34,55,8,5
Kalimantan Barat,KAYONG UTARA,23,19,29,53,23,11
Kalimantan Barat,KETAPANG,21,22,26,40,37,17
Kalimantan Barat,KOTA PONTIANAK,26,31,42,67,57,35
Kalimantan Barat,KOTA SINGKAWANG,26,35,85,102,91,46
Kalimantan Barat,KUBU RAYA,15,19,21,32,26,16
Kalimantan Barat,LANDAK,19,4,0,46,31,20
Kalimantan Barat,MELAWI,20,61,26,69,49,25
Kalimantan Barat,MEMPAWAH,19,19,28,41,33,18
Kalimantan Barat,SAMBAS,24,29,44,60,49,39
Kalimantan Barat,SANGGAU,29,42,44,53,45,19
Kalimantan Barat,SEKADAU,27,23,54,48,28,8
Kalimantan Barat,SINTANG,16,9,34,80,29,16
Kalimantan Tengah,BARITO SELATAN,23,13,24,46,33,22
Kalimantan Tengah,BARITO TIMUR,25,28,31,25,20,16
Kalimantan Tengah,BARITO UTARA,31,37,36,56,32,11
Kalimantan Tengah,GUNUNG MAS,13,26,38,41,35,17
Kalimantan Tengah,KAPUAS,24,27,22,31,21,14
Kalimantan Tengah,KATINGAN,20,24,31,33,21,16
Kalimantan Tengah,KOTA PALANGKA RAYA,42,47,41,54,24,21
Kalimantan Tengah,KOTAWARINGIN BARAT,22,28,50,52,31,27
Kalimantan Tengah,KOTAWARINGIN TIMUR,22,24,24,36,30,18
Kalimantan Tengah,LAMANDAU,35,48,26,44,26,15
Kalimantan Tengah,MURUNG RAYA,52,58,62,61,51,33
Kalimantan Tengah,PULANG PISAU,16,17,21,26,13,7
Kalimantan Tengah,SERUYAN,13,23,21,33,23,13
Kalimantan Tengah,SUKAMARA,19,32,41,45,37,18
Kalimantan Selatan,BALANGAN,33,31,62,40,15,11
Kalimantan Selatan,BANJAR,42,41,62,78,31,21
Kalimantan Selatan,BARITO KUALA,30,32,34,26,20,9
Kalimantan Selatan,HULU SUNGAI SELATAN,40,45,54,53,22,14
Kalimantan Selatan,HULU SUNGAI TENGAH,47,43,49,47,42,23
Kalimantan Selatan,HULU SUNGAI UTARA,33,45,43,40,25,23
Kalimantan Selatan,KOTA BANJAR BARU,38,36,45,42,24,17
Kalimantan Selatan,KOTA BANJARMASIN,29,71,70,72,30,18
Kalimantan Selatan,KOTABARU,21,26,54,33,24,14
Kalimantan Selatan,TABALONG,31,34,54,40,23,12
Kalimantan Selatan,TANAH BUMBU,14,16,25,27,13,14
Kalimantan Selatan,TANAH LAUT,23,29,25,40,20,12
Kalimantan Selatan,TAPIN,26,29,35,45,20,10
Kalimantan Timur,BERAU,42,39,41,58,26,15
Kalimantan Timur,KOTA BALIKPAPAN,32,48,44,62,34,20
