Province,District,2016-Jan-Mar,2016-Apr-Jun,2016-Jul-Sep,2016-Oct-Dec,2017-Jan-Mar,2017-Apr-Jun,2017-Jul-Sep,2017-Oct-Dec,2018-Jan-Mar,2018-Apr-Jun,2018-Jul-Sep,2018-Oct-Dec,NA,2019-Jan-Mar,2019-Apr-Jun,2019-Jul-Sep,2019-Oct-Dec,NA,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec
SUMBAR,PESISIR SELATAN,97,95,96,93,98,96,96,96,97,97,98,97,#DIV/0!,96,97,96,97,#DIV/0!,93,96,95,88,79,91,85,94,96,98,97,70,70,68,31,11,4,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,SIJUNJUNG,100,94,0,89,91,92,100,98,99,100,95,97,#DIV/0!,97,95,96,97,#DIV/0!,6,42,38,25,13,0,38,0,43,40,13,0,42,44,15,21,0,0,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,SOLOK,96,95,91,97,91,93,93,0,66,82,81,77,#DIV/0!,76,99,86,99,#DIV/0!,33,26,9,67,0,60,0,50,67,33,67,0,18,17,0,9,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,SOLOK SELATAN,95,100,98,93,96,95,89,95,86,95,92,86,#DIV/0!,85,94,82,86,#DIV/0!,96,90,86,38,0,53,38,33,65,64,29,0,6,0,4,13,25,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
SUMBAR,TANAH DATAR,88,90,11,89,94,96,90,86,93,83,90,89,#DIV/0!,96,97,100,98,#DIV/0!,36,47,48,40,30,30,50,13,33,15,36,25,27,24,16,11,0,0,0,0,0,0,#DIV/0!,#DIV/0!
RIAU,BENGKALIS,88,95,89,92,92,99,96,93,89,95,81,90,#DIV/0!,91,89,95,88,#DIV/0!,90,91,94,95,96,89,95,90,92,85,80,85,90,82,78,60,5,0,0,0,0,0,#DIV/0!,#DIV/0!
RIAU,INDRAGIRI HILIR,100,89,50,64,50,63,62,53,92,90,80,73,#DIV/0!,94,91,94,92,#DIV/0!,91,88,92,94,87,90,80,95,94,93,97,87,88,84,80,71,31,0,0,0,0,0,#DIV/0!,#DIV/0!
RIAU,INDRAGIRI HULU,94,95,92,90,91,97,84,87,89,94,77,88,#DIV/0!,94,96,96,85,#DIV/0!,87,97,83,91,95,95,91,88,89,95,94,96,86,94,75,73,34,0,0,0,0,0,0,#DIV/0!
RIAU,KAMPAR,88,93,90,84,92,53,61,63,76,92,93,93,#DIV/0!,95,97,93,95,#DIV/0!,96,92,97,91,91,98,96,99,95,92,98,89,90,88,88,58,13,0,0,0,0,0,#DIV/0!,#DIV/0!
RIAU,KEPULAUAN MERANTI,94,100,98,90,86,86,88,78,84,78,91,78,#DIV/0!,78,81,74,81,#DIV/0!,94,83,91,75,75,87,72,93,83,100,80,94,72,67,89,68,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
